customer_code,customer_name,channel,balance_krw,days_0_30_krw,days_31_60_krw,days_61_90_krw,over_90_krw
C001,현대모비스,국내/1차벤더,1058000000,790000000,222000000,46000000,0
C002,만도,국내/1차벤더,1221000000,716000000,194000000,311000000,0
C003,HL만도터보,국내/1차벤더,1093000000,665000000,256000000,172000000,0
C004,LG마그나,국내/1차벤더,979000000,703000000,177000000,99000000,0
C005,SL미러텍,국내/2차벤더,733000000,432000000,156000000,145000000,0
C006,대성정공,국내/2차벤더,1297000000,852000000,301000000,144000000,0
C007,Bosch Korea,해외/1차벤더,953000000,673000000,240000000,40000000,0
C008,Denso Kyushu,해외/1차벤더,788000000,539000000,232000000,17000000,0
C009,동아오토모티브,국내/2차벤더,1493000000,1062000000,252000000,179000000,0
C010,세종테크,국내/2차벤더,1199000000,878000000,236000000,85000000,0
C801,우성모터스(대리점),국내/대리점,2928000000,2928000000,0,0,0
C802,삼정오토파츠(대리점),국내/대리점,2662000000,2662000000,0,0,0
C803,정한상사(대리점),국내/대리점,2396000000,2396000000,0,0,0
