account,txn_date,description,deposit_krw,withdrawal_krw,balance_krw
신한 110-***-4471,2024-01-04,단기차입금 상환 (기업은행),0,3000000000,1500000000
신한 110-***-4471,2024-01-08,매출채권 회수 (LG마그나),1511000000,0,3011000000
신한 110-***-4471,2024-01-08,매입채무 지급 (원재료),0,1224000000,1787000000
신한 110-***-4471,2024-01-10,운영자금 대체 (한빛홀딩스),0,200000000,1587000000
신한 110-***-4471,2024-01-11,매출채권 회수 (Bosch Korea),1485000000,0,3072000000
신한 110-***-4471,2024-01-11,매입채무 지급 (원재료),0,534000000,2538000000
신한 110-***-4471,2024-01-12,매입채무 지급 (원재료),0,598000000,1940000000
신한 110-***-4471,2024-01-15,매출채권 회수 (Denso Kyushu),805000000,0,2745000000
신한 110-***-4471,2024-01-15,매출채권 회수 (SL미러텍),1386000000,0,4131000000
신한 110-***-4471,2024-01-15,매출채권 회수 (대성정공),1497000000,0,5628000000
신한 110-***-4471,2024-01-15,매입채무 지급 (원재료),0,1365000000,4263000000
신한 110-***-4471,2024-01-17,매출채권 회수 (HL만도터보),392000000,0,4655000000
신한 110-***-4471,2024-01-18,매입채무 지급 (원재료),0,1344000000,3311000000
신한 110-***-4471,2024-01-18,매입채무 지급 (원재료),0,1142000000,2169000000
신한 110-***-4471,2024-01-22,매출채권 회수 (세종테크),1268000000,0,3437000000
신한 110-***-4471,2024-01-22,매출채권 회수 (세종테크),529000000,0,3966000000
신한 110-***-4471,2024-01-22,매출채권 회수 (동아오토모티브),580000000,0,4546000000
신한 110-***-4471,2024-01-22,매출채권 회수 (만도),669000000,0,5215000000
신한 110-***-4471,2024-01-22,차입금 이자,0,80000000,5135000000
신한 110-***-4471,2024-01-23,매출채권 회수 (Denso Kyushu),400000000,0,5535000000
신한 110-***-4471,2024-01-24,매입채무 지급 (원재료),0,910000000,4625000000
신한 110-***-4471,2024-01-25,급여 지급,0,1315000000,3310000000
신한 110-***-4471,2024-01-26,매출채권 회수 (만도),1517000000,0,4827000000
신한 110-***-4471,2024-01-29,매출채권 회수 (동아오토모티브),1494000000,0,6321000000
신한 110-***-4471,2024-02-05,매출채권 회수 (세종테크),694000000,0,7015000000
신한 110-***-4471,2024-02-05,매출채권 회수 (Bosch Korea),1283000000,0,8298000000
신한 110-***-4471,2024-02-06,매출채권 회수 (Denso Kyushu),1422000000,0,9720000000
신한 110-***-4471,2024-02-07,매출채권 회수 (SL미러텍),1623000000,0,11343000000
신한 110-***-4471,2024-02-07,매입채무 지급 (원재료),0,741000000,10602000000
신한 110-***-4471,2024-02-09,매입채무 지급 (원재료),0,983000000,9619000000
신한 110-***-4471,2024-02-12,매출채권 회수 (Bosch Korea),635000000,0,10254000000
신한 110-***-4471,2024-02-12,매출채권 회수 (HL만도터보),1187000000,0,11441000000
신한 110-***-4471,2024-02-12,매입채무 지급 (원재료),0,1155000000,10286000000
신한 110-***-4471,2024-02-12,매입채무 지급 (원재료),0,1339000000,8947000000
신한 110-***-4471,2024-02-12,운영자금 대체 (한빛홀딩스),0,200000000,8747000000
신한 110-***-4471,2024-02-13,매출채권 회수 (Denso Kyushu),769000000,0,9516000000
신한 110-***-4471,2024-02-13,매입채무 지급 (원재료),0,1344000000,8172000000
신한 110-***-4471,2024-02-19,매출채권 회수 (현대모비스),593000000,0,8765000000
신한 110-***-4471,2024-02-19,매입채무 지급 (원재료),0,1008000000,7757000000
신한 110-***-4471,2024-02-19,설비대금 지급 (P-C 라인 증설),0,2200000000,5557000000
신한 110-***-4471,2024-02-20,매출채권 회수 (세종테크),897000000,0,6454000000
신한 110-***-4471,2024-02-20,차입금 이자,0,92000000,6362000000
신한 110-***-4471,2024-02-21,매입채무 지급 (원재료),0,1370000000,4992000000
신한 110-***-4471,2024-02-26,매출채권 회수 (Bosch Korea),1558000000,0,6550000000
신한 110-***-4471,2024-02-26,매입채무 지급 (원재료),0,440000000,6110000000
신한 110-***-4471,2024-02-26,매입채무 지급 (원재료),0,438000000,5672000000
신한 110-***-4471,2024-02-26,매입채무 지급 (원재료),0,1035000000,4637000000
신한 110-***-4471,2024-02-26,급여 지급,0,1209000000,3428000000
신한 110-***-4471,2024-03-04,매출채권 회수 (대성정공),677000000,0,4105000000
신한 110-***-4471,2024-03-08,매출채권 회수 (세종테크),1056000000,0,5161000000
신한 110-***-4471,2024-03-08,매입채무 지급 (원재료),0,600000000,4561000000
신한 110-***-4471,2024-03-08,매입채무 지급 (원재료),0,1220000000,3341000000
신한 110-***-4471,2024-03-11,매출채권 회수 (현대모비스),1444000000,0,4785000000
신한 110-***-4471,2024-03-11,매출채권 회수 (HL만도터보),1113000000,0,5898000000
신한 110-***-4471,2024-03-11,운영자금 대체 (한빛홀딩스),0,200000000,5698000000
신한 110-***-4471,2024-03-13,매입채무 지급 (원재료),0,1313000000,4385000000
신한 110-***-4471,2024-03-13,매입채무 지급 (원재료),0,1071000000,3314000000
신한 110-***-4471,2024-03-15,단기차입금 차입 (신한은행),2500000000,0,5814000000
신한 110-***-4471,2024-03-18,매출채권 회수 (현대모비스),642000000,0,6456000000
신한 110-***-4471,2024-03-18,매입채무 지급 (원재료),0,679000000,5777000000
신한 110-***-4471,2024-03-18,매입채무 지급 (원재료),0,974000000,4803000000
신한 110-***-4471,2024-03-19,매입채무 지급 (원재료),0,670000000,4133000000
신한 110-***-4471,2024-03-20,차입금 이자,0,88000000,4045000000
신한 110-***-4471,2024-03-21,매입채무 지급 (원재료),0,1059000000,2986000000
신한 110-***-4471,2024-03-25,매출채권 회수 (HL만도터보),901000000,0,3887000000
신한 110-***-4471,2024-03-25,매출채권 회수 (동아오토모티브),1054000000,0,4941000000
신한 110-***-4471,2024-03-25,급여 지급,0,1237000000,3704000000
신한 110-***-4471,2024-03-26,매입채무 지급 (원재료),0,1391000000,2313000000
신한 110-***-4471,2024-03-27,매출채권 회수 (만도),1000000000,0,3313000000
신한 110-***-4471,2024-03-27,매출채권 회수 (세종테크),1338000000,0,4651000000
신한 110-***-4471,2024-04-04,매출채권 회수 (대성정공),680000000,0,5331000000
신한 110-***-4471,2024-04-05,매입채무 지급 (원재료),0,629000000,4702000000
신한 110-***-4471,2024-04-08,매출채권 회수 (Bosch Korea),884000000,0,5586000000
신한 110-***-4471,2024-04-08,매출채권 회수 (동아오토모티브),400000000,0,5986000000
신한 110-***-4471,2024-04-09,매출채권 회수 (동아오토모티브),967000000,0,6953000000
신한 110-***-4471,2024-04-09,매입채무 지급 (원재료),0,424000000,6529000000
신한 110-***-4471,2024-04-10,매입채무 지급 (원재료),0,719000000,5810000000
신한 110-***-4471,2024-04-10,운영자금 대체 (한빛홀딩스),0,200000000,5610000000
신한 110-***-4471,2024-04-11,매입채무 지급 (원재료),0,350000000,5260000000
신한 110-***-4471,2024-04-11,매입채무 지급 (원재료),0,910000000,4350000000
신한 110-***-4471,2024-04-11,매입채무 지급 (원재료),0,1073000000,3277000000
신한 110-***-4471,2024-04-11,매입채무 지급 (원재료),0,1321000000,1956000000
신한 110-***-4471,2024-04-15,매출채권 회수 (세종테크),1147000000,0,3103000000
신한 110-***-4471,2024-04-15,매출채권 회수 (대성정공),1412000000,0,4515000000
신한 110-***-4471,2024-04-15,매입채무 지급 (원재료),0,493000000,4022000000
신한 110-***-4471,2024-04-17,매출채권 회수 (세종테크),1366000000,0,5388000000
신한 110-***-4471,2024-04-18,설비대금 지급 (P-C 라인 증설),0,1200000000,4188000000
신한 110-***-4471,2024-04-19,매출채권 회수 (LG마그나),723000000,0,4911000000
신한 110-***-4471,2024-04-22,매입채무 지급 (원재료),0,1332000000,3579000000
신한 110-***-4471,2024-04-22,차입금 이자,0,73000000,3506000000
신한 110-***-4471,2024-04-23,매입채무 지급 (원재료),0,1202000000,2304000000
신한 110-***-4471,2024-04-25,매출채권 회수 (동아오토모티브),1566000000,0,3870000000
신한 110-***-4471,2024-04-25,매입채무 지급 (원재료),0,1181000000,2689000000
신한 110-***-4471,2024-04-25,급여 지급,0,1303000000,1386000000
신한 110-***-4471,2024-04-29,매출채권 회수 (동아오토모티브),1132000000,0,2518000000
신한 110-***-4471,2024-05-03,매출채권 회수 (LG마그나),1004000000,0,3522000000
신한 110-***-4471,2024-05-06,매출채권 회수 (세종테크),937000000,0,4459000000
신한 110-***-4471,2024-05-09,매출채권 회수 (세종테크),1649000000,0,6108000000
신한 110-***-4471,2024-05-10,매출채권 회수 (동아오토모티브),1399000000,0,7507000000
신한 110-***-4471,2024-05-10,매입채무 지급 (원재료),0,923000000,6584000000
신한 110-***-4471,2024-05-10,운영자금 대체 (한빛홀딩스),0,200000000,6384000000
신한 110-***-4471,2024-05-13,매입채무 지급 (원재료),0,900000000,5484000000
신한 110-***-4471,2024-05-13,매입채무 지급 (원재료),0,884000000,4600000000
신한 110-***-4471,2024-05-15,매출채권 회수 (세종테크),454000000,0,5054000000
신한 110-***-4471,2024-05-15,매입채무 지급 (원재료),0,1093000000,3961000000
신한 110-***-4471,2024-05-15,단기차입금 차입 (신한은행),2500000000,0,6461000000
신한 110-***-4471,2024-05-16,매입채무 지급 (원재료),0,1118000000,5343000000
신한 110-***-4471,2024-05-16,매입채무 지급 (원재료),0,379000000,4964000000
신한 110-***-4471,2024-05-17,매출채권 회수 (LG마그나),1150000000,0,6114000000
신한 110-***-4471,2024-05-20,매출채권 회수 (LG마그나),874000000,0,6988000000
신한 110-***-4471,2024-05-20,매출채권 회수 (현대모비스),488000000,0,7476000000
신한 110-***-4471,2024-05-20,매출채권 회수 (LG마그나),1621000000,0,9097000000
신한 110-***-4471,2024-05-20,차입금 이자,0,69000000,9028000000
신한 110-***-4471,2024-05-21,매출채권 회수 (HL만도터보),1130000000,0,10158000000
신한 110-***-4471,2024-05-22,매입채무 지급 (원재료),0,333000000,9825000000
신한 110-***-4471,2024-05-23,매출채권 회수 (Bosch Korea),1649000000,0,11474000000
신한 110-***-4471,2024-05-24,매입채무 지급 (원재료),0,791000000,10683000000
신한 110-***-4471,2024-05-27,매출채권 회수 (Denso Kyushu),568000000,0,11251000000
신한 110-***-4471,2024-05-27,매출채권 회수 (Denso Kyushu),1309000000,0,12560000000
신한 110-***-4471,2024-05-27,매출채권 회수 (만도),436000000,0,12996000000
신한 110-***-4471,2024-05-27,매입채무 지급 (원재료),0,1215000000,11781000000
신한 110-***-4471,2024-05-27,매입채무 지급 (원재료),0,442000000,11339000000
신한 110-***-4471,2024-05-27,매입채무 지급 (원재료),0,1355000000,9984000000
신한 110-***-4471,2024-05-27,급여 지급,0,1243000000,8741000000
신한 110-***-4471,2024-06-03,매출채권 회수 (세종테크),419000000,0,9160000000
신한 110-***-4471,2024-06-05,매출채권 회수 (SL미러텍),1411000000,0,10571000000
신한 110-***-4471,2024-06-06,매출채권 회수 (현대모비스),491000000,0,11062000000
신한 110-***-4471,2024-06-10,매출채권 회수 (만도),1130000000,0,12192000000
신한 110-***-4471,2024-06-10,운영자금 대체 (한빛홀딩스),0,200000000,11992000000
신한 110-***-4471,2024-06-12,매출채권 회수 (대성정공),1172000000,0,13164000000
신한 110-***-4471,2024-06-12,매입채무 지급 (원재료),0,968000000,12196000000
신한 110-***-4471,2024-06-13,매출채권 회수 (세종테크),1162000000,0,13358000000
신한 110-***-4471,2024-06-13,매입채무 지급 (원재료),0,407000000,12951000000
신한 110-***-4471,2024-06-17,매출채권 회수 (LG마그나),600000000,0,13551000000
신한 110-***-4471,2024-06-17,매입채무 지급 (원재료),0,724000000,12827000000
신한 110-***-4471,2024-06-17,매입채무 지급 (원재료),0,450000000,12377000000
신한 110-***-4471,2024-06-17,매입채무 지급 (원재료),0,612000000,11765000000
신한 110-***-4471,2024-06-18,설비대금 지급 (P-C 라인 증설),0,1200000000,10565000000
신한 110-***-4471,2024-06-19,매입채무 지급 (원재료),0,1349000000,9216000000
신한 110-***-4471,2024-06-20,매입채무 지급 (원재료),0,1026000000,8190000000
신한 110-***-4471,2024-06-20,매입채무 지급 (원재료),0,342000000,7848000000
신한 110-***-4471,2024-06-20,매입채무 지급 (원재료),0,1204000000,6644000000
신한 110-***-4471,2024-06-20,차입금 이자,0,77000000,6567000000
신한 110-***-4471,2024-06-21,매입채무 지급 (원재료),0,834000000,5733000000
신한 110-***-4471,2024-06-24,매출채권 회수 (현대모비스),1500000000,0,7233000000
신한 110-***-4471,2024-06-24,매출채권 회수 (현대모비스),1535000000,0,8768000000
신한 110-***-4471,2024-06-24,매출채권 회수 (SL미러텍),954000000,0,9722000000
신한 110-***-4471,2024-06-25,급여 지급,0,1243000000,8479000000
신한 110-***-4471,2024-06-26,매출채권 회수 (Bosch Korea),1077000000,0,9556000000
신한 110-***-4471,2024-06-26,매출채권 회수 (Denso Kyushu),928000000,0,10484000000
신한 110-***-4471,2024-07-05,매출채권 회수 (세종테크),1584000000,0,12068000000
신한 110-***-4471,2024-07-05,매출채권 회수 (대성정공),1610000000,0,13678000000
신한 110-***-4471,2024-07-10,운영자금 대체 (한빛홀딩스),0,200000000,13478000000
신한 110-***-4471,2024-07-11,매입채무 지급 (원재료),0,650000000,12828000000
신한 110-***-4471,2024-07-11,매입채무 지급 (원재료),0,516000000,12312000000
신한 110-***-4471,2024-07-15,매출채권 회수 (HL만도터보),1186000000,0,13498000000
신한 110-***-4471,2024-07-15,매입채무 지급 (원재료),0,367000000,13131000000
신한 110-***-4471,2024-07-15,단기차입금 차입 (신한은행),1500000000,0,14631000000
신한 110-***-4471,2024-07-17,매출채권 회수 (만도),769000000,0,15400000000
신한 110-***-4471,2024-07-22,매출채권 회수 (Denso Kyushu),1229000000,0,16629000000
신한 110-***-4471,2024-07-22,매출채권 회수 (Bosch Korea),899000000,0,17528000000
신한 110-***-4471,2024-07-22,매출채권 회수 (현대모비스),412000000,0,17940000000
신한 110-***-4471,2024-07-22,매출채권 회수 (HL만도터보),696000000,0,18636000000
신한 110-***-4471,2024-07-22,매입채무 지급 (원재료),0,1069000000,17567000000
신한 110-***-4471,2024-07-22,매입채무 지급 (원재료),0,695000000,16872000000
신한 110-***-4471,2024-07-22,매입채무 지급 (원재료),0,1364000000,15508000000
신한 110-***-4471,2024-07-22,차입금 이자,0,61000000,15447000000
신한 110-***-4471,2024-07-24,매출채권 회수 (Denso Kyushu),1619000000,0,17066000000
신한 110-***-4471,2024-07-24,매입채무 지급 (원재료),0,1017000000,16049000000
신한 110-***-4471,2024-07-24,매입채무 지급 (원재료),0,815000000,15234000000
신한 110-***-4471,2024-07-25,급여 지급,0,1198000000,14036000000
신한 110-***-4471,2024-07-29,매출채권 회수 (SL미러텍),1235000000,0,15271000000
신한 110-***-4471,2024-08-02,매출채권 회수 (SL미러텍),667000000,0,15938000000
신한 110-***-4471,2024-08-06,매입채무 지급 (원재료),0,1277000000,14661000000
신한 110-***-4471,2024-08-07,매입채무 지급 (원재료),0,320000000,14341000000
신한 110-***-4471,2024-08-08,매출채권 회수 (세종테크),1646000000,0,15987000000
신한 110-***-4471,2024-08-09,매입채무 지급 (원재료),0,817000000,15170000000
신한 110-***-4471,2024-08-09,매입채무 지급 (원재료),0,521000000,14649000000
신한 110-***-4471,2024-08-12,매출채권 회수 (대성정공),1606000000,0,16255000000
신한 110-***-4471,2024-08-12,매입채무 지급 (원재료),0,606000000,15649000000
신한 110-***-4471,2024-08-12,매입채무 지급 (원재료),0,433000000,15216000000
신한 110-***-4471,2024-08-12,운영자금 대체 (한빛홀딩스),0,200000000,15016000000
신한 110-***-4471,2024-08-13,매출채권 회수 (만도),1447000000,0,16463000000
신한 110-***-4471,2024-08-13,매출채권 회수 (만도),1475000000,0,17938000000
신한 110-***-4471,2024-08-14,매출채권 회수 (Bosch Korea),988000000,0,18926000000
신한 110-***-4471,2024-08-14,매출채권 회수 (Denso Kyushu),620000000,0,19546000000
신한 110-***-4471,2024-08-15,매출채권 회수 (현대모비스),843000000,0,20389000000
신한 110-***-4471,2024-08-15,매입채무 지급 (원재료),0,861000000,19528000000
신한 110-***-4471,2024-08-19,설비대금 지급 (P-C 라인 증설),0,1600000000,17928000000
신한 110-***-4471,2024-08-20,매입채무 지급 (원재료),0,1312000000,16616000000
신한 110-***-4471,2024-08-20,차입금 이자,0,91000000,16525000000
신한 110-***-4471,2024-08-23,매입채무 지급 (원재료),0,801000000,15724000000
신한 110-***-4471,2024-08-26,매입채무 지급 (원재료),0,1071000000,14653000000
신한 110-***-4471,2024-08-26,급여 지급,0,1231000000,13422000000
신한 110-***-4471,2024-08-27,매출채권 회수 (대성정공),1400000000,0,14822000000
신한 110-***-4471,2024-09-04,매출채권 회수 (현대모비스),1333000000,0,16155000000
신한 110-***-4471,2024-09-06,매출채권 회수 (세종테크),1529000000,0,17684000000
신한 110-***-4471,2024-09-09,매출채권 회수 (SL미러텍),934000000,0,18618000000
신한 110-***-4471,2024-09-09,매입채무 지급 (원재료),0,668000000,17950000000
신한 110-***-4471,2024-09-09,매입채무 지급 (원재료),0,927000000,17023000000
신한 110-***-4471,2024-09-09,매입채무 지급 (원재료),0,404000000,16619000000
신한 110-***-4471,2024-09-09,매입채무 지급 (원재료),0,1344000000,15275000000
신한 110-***-4471,2024-09-10,매입채무 지급 (원재료),0,1395000000,13880000000
신한 110-***-4471,2024-09-10,운영자금 대체 (한빛홀딩스),0,200000000,13680000000
신한 110-***-4471,2024-09-13,매출채권 회수 (LG마그나),999000000,0,14679000000
신한 110-***-4471,2024-09-16,매출채권 회수 (동아오토모티브),1598000000,0,16277000000
신한 110-***-4471,2024-09-16,매출채권 회수 (Denso Kyushu),1176000000,0,17453000000
신한 110-***-4471,2024-09-16,매출채권 회수 (현대모비스),1628000000,0,19081000000
신한 110-***-4471,2024-09-16,매출채권 회수 (SL미러텍),1084000000,0,20165000000
신한 110-***-4471,2024-09-16,단기차입금 차입 (신한은행),1500000000,0,21665000000
신한 110-***-4471,2024-09-17,매입채무 지급 (원재료),0,559000000,21106000000
신한 110-***-4471,2024-09-18,매출채권 회수 (동아오토모티브),1576000000,0,22682000000
신한 110-***-4471,2024-09-18,매입채무 지급 (원재료),0,1245000000,21437000000
신한 110-***-4471,2024-09-18,설비대금 지급 (P-C 라인 증설),0,1600000000,19837000000
신한 110-***-4471,2024-09-19,매출채권 회수 (만도),1190000000,0,21027000000
신한 110-***-4471,2024-09-20,차입금 이자,0,89000000,20938000000
신한 110-***-4471,2024-09-23,매출채권 회수 (LG마그나),573000000,0,21511000000
신한 110-***-4471,2024-09-23,매입채무 지급 (원재료),0,495000000,21016000000
신한 110-***-4471,2024-09-24,매출채권 회수 (HL만도터보),1378000000,0,22394000000
신한 110-***-4471,2024-09-24,매출채권 회수 (Bosch Korea),570000000,0,22964000000
신한 110-***-4471,2024-09-24,매출채권 회수 (LG마그나),690000000,0,23654000000
신한 110-***-4471,2024-09-24,매입채무 지급 (원재료),0,1086000000,22568000000
신한 110-***-4471,2024-09-25,매입채무 지급 (원재료),0,762000000,21806000000
신한 110-***-4471,2024-09-25,급여 지급,0,1240000000,20566000000
신한 110-***-4471,2024-10-07,매출채권 회수 (Denso Kyushu),1185000000,0,21751000000
신한 110-***-4471,2024-10-07,매출채권 회수 (Bosch Korea),592000000,0,22343000000
신한 110-***-4471,2024-10-07,매입채무 지급 (원재료),0,1146000000,21197000000
신한 110-***-4471,2024-10-07,매입채무 지급 (원재료),0,1198000000,19999000000
신한 110-***-4471,2024-10-07,매입채무 지급 (원재료),0,619000000,19380000000
신한 110-***-4471,2024-10-07,매입채무 지급 (원재료),0,1349000000,18031000000
신한 110-***-4471,2024-10-07,매입채무 지급 (원재료),0,1280000000,16751000000
신한 110-***-4471,2024-10-09,매출채권 회수 (대성정공),554000000,0,17305000000
신한 110-***-4471,2024-10-10,매입채무 지급 (원재료),0,785000000,16520000000
신한 110-***-4471,2024-10-10,운영자금 대체 (한빛홀딩스),0,200000000,16320000000
신한 110-***-4471,2024-10-11,매출채권 회수 (대성정공),1286000000,0,17606000000
신한 110-***-4471,2024-10-14,매출채권 회수 (만도),1178000000,0,18784000000
신한 110-***-4471,2024-10-14,매입채무 지급 (원재료),0,1310000000,17474000000
신한 110-***-4471,2024-10-15,매입채무 지급 (원재료),0,366000000,17108000000
신한 110-***-4471,2024-10-15,단기차입금 차입 (신한은행),2500000000,0,19608000000
신한 110-***-4471,2024-10-16,매출채권 회수 (만도),1255000000,0,20863000000
신한 110-***-4471,2024-10-17,매출채권 회수 (HL만도터보),982000000,0,21845000000
신한 110-***-4471,2024-10-18,매입채무 지급 (원재료),0,848000000,20997000000
신한 110-***-4471,2024-10-21,차입금 이자,0,60000000,20937000000
신한 110-***-4471,2024-10-22,매입채무 지급 (원재료),0,1175000000,19762000000
신한 110-***-4471,2024-10-23,매출채권 회수 (세종테크),1083000000,0,20845000000
신한 110-***-4471,2024-10-24,매입채무 지급 (원재료),0,337000000,20508000000
신한 110-***-4471,2024-10-25,급여 지급,0,1301000000,19207000000
신한 110-***-4471,2024-10-28,매출채권 회수 (현대모비스),1476000000,0,20683000000
신한 110-***-4471,2024-11-04,매출채권 회수 (SL미러텍),862000000,0,21545000000
신한 110-***-4471,2024-11-08,매출채권 회수 (만도),925000000,0,22470000000
신한 110-***-4471,2024-11-08,매출채권 회수 (Bosch Korea),1029000000,0,23499000000
신한 110-***-4471,2024-11-08,매출채권 회수 (HL만도터보),1614000000,0,25113000000
신한 110-***-4471,2024-11-11,매출채권 회수 (HL만도터보),1120000000,0,26233000000
신한 110-***-4471,2024-11-11,매입채무 지급 (원재료),0,1296000000,24937000000
신한 110-***-4471,2024-11-11,매입채무 지급 (원재료),0,1194000000,23743000000
신한 110-***-4471,2024-11-11,운영자금 대체 (한빛홀딩스),0,200000000,23543000000
신한 110-***-4471,2024-11-12,매입채무 지급 (원재료),0,1368000000,22175000000
신한 110-***-4471,2024-11-12,매입채무 지급 (원재료),0,1049000000,21126000000
신한 110-***-4471,2024-11-15,단기차입금 차입 (신한은행),2000000000,0,23126000000
