credit_note_no,issue_date,customer_code,product_code,amount_krw,reason
CN2024-0014,2024-02-21,C008,P-A,62391440,수량초과 반품
CN2024-0041,2024-02-26,C009,P-B,99242471,규격불량 반품
CN2024-0043,2024-03-04,C005,P-C,80558766,치수불량 반품
CN2024-0033,2024-03-11,C005,P-C,59739674,수량초과 반품
CN2024-0025,2024-03-22,C003,P-A,27349100,치수불량 반품
CN2024-0047,2024-04-04,C006,P-B,72633224,수량초과 반품
CN2024-0036,2024-04-18,C005,P-A,60078068,규격불량 반품
CN2024-0044,2024-04-18,C007,P-C,90585891,수량초과 반품
CN2024-0010,2024-05-10,C007,P-A,41470417,치수불량 반품
CN2024-0024,2024-05-13,C007,P-C,94874803,규격불량 반품
CN2024-0017,2024-05-14,C002,P-C,28389260,수량초과 반품
CN2024-0026,2024-05-20,C008,P-A,56524741,치수불량 반품
CN2024-0012,2024-06-12,C003,P-C,64980506,규격불량 반품
CN2024-0046,2024-06-20,C002,P-A,84235950,수량초과 반품
CN2024-0018,2024-07-09,C002,P-A,75180501,치수불량 반품
CN2024-0042,2024-07-09,C001,P-A,91149565,치수불량 반품
CN2024-0040,2024-07-15,C008,P-A,77441456,치수불량 반품
CN2024-0013,2024-07-16,C004,P-A,86192505,치수불량 반품
CN2024-0032,2024-07-22,C009,P-C,83723472,규격불량 반품
CN2024-0016,2024-07-25,C009,P-A,76761148,규격불량 반품
CN2024-0030,2024-08-05,C008,P-B,86684399,치수불량 반품
CN2024-0023,2024-08-07,C004,P-B,61505019,치수불량 반품
CN2024-0011,2024-08-16,C003,P-A,35178295,치수불량 반품
CN2024-0031,2024-08-19,C001,P-B,64354557,수량초과 반품
CN2024-0045,2024-08-26,C008,P-A,101804428,치수불량 반품
CN2024-0015,2024-09-19,C009,P-A,31907920,수량초과 반품
CN2024-0022,2024-09-23,C010,P-C,53027526,규격불량 반품
CN2024-0037,2024-10-14,C003,P-C,77769628,수량초과 반품
CN2024-0021,2024-10-18,C010,P-C,44726155,치수불량 반품
CN2024-0020,2024-10-23,C004,P-C,68533154,수량초과 반품
CN2024-0027,2024-11-07,C007,P-C,82729776,규격불량 반품
CN2024-0028,2024-11-19,C002,P-B,68057377,수량초과 반품
CN2024-0038,2024-11-25,C009,P-C,48163383,규격불량 반품
CN2024-0019,2024-12-03,C008,P-C,75585340,규격불량 반품
CN2024-0034,2024-12-09,C009,P-B,32871571,수량초과 반품
CN2024-0039,2024-12-09,C004,P-A,43814460,수량초과 반품
CN2024-0029,2024-12-13,C001,P-C,56848573,규격불량 반품
CN2024-0035,2024-12-18,C010,P-A,57935481,규격불량 반품
CN2025-0005,2025-01-11,C802,P-C,307924765,재고조정 반품
CN2025-0004,2025-01-18,C802,P-C,311809823,판매부진 반품
CN2025-0002,2025-01-19,C801,P-C,358324493,판매부진 반품
CN2025-0001,2025-01-20,C801,P-C,334036186,판매부진 반품
CN2025-0003,2025-01-21,C801,P-C,444305987,재고조정 반품
CN2025-0008,2025-01-21,C803,P-C,278856324,미판매 재고 반품
CN2025-0006,2025-02-09,C802,P-C,413598745,판매부진 반품
CN2025-0009,2025-02-13,C803,P-C,361224269,재고조정 반품
CN2025-0007,2025-02-14,C803,P-C,289919408,판매부진 반품
