activity,cost_driver,activity_pool_krw,product_code,driver_usage,driver_total,abc_allocated_krw
설비감가상각·전력,기계시간,8400000000,P-A,30000,120000,2100000000
설비감가상각·전력,기계시간,8400000000,P-B,24000,120000,1680000000
설비감가상각·전력,기계시간,8400000000,P-C,66000,120000,4620000000
셋업·금형교체,셋업횟수,3000000000,P-A,120,600,600000000
셋업·금형교체,셋업횟수,3000000000,P-B,90,600,450000000
셋업·금형교체,셋업횟수,3000000000,P-C,390,600,1950000000
품질검사·재작업,검사재작업건수,2400000000,P-A,400,2000,480000000
품질검사·재작업,검사재작업건수,2400000000,P-B,300,2000,360000000
품질검사·재작업,검사재작업건수,2400000000,P-C,1300,2000,1560000000
자재취급,자재출고건수,1200000000,P-A,1200,3000,480000000
자재취급,자재출고건수,1200000000,P-B,900,3000,360000000
자재취급,자재출고건수,1200000000,P-C,900,3000,360000000
