po_no,po_date,item_description,amount_krw,posted_account_code,posted_account_name,remark
PO2024-00012,2024-01-02,소모품 - 연마석,290000000,616,소모품비(제조),
PO2024-00008,2024-01-08,소모품 - 연마석,247000000,616,소모품비(제조),
PO2024-00001,2024-01-18,원재료 - 알루미늄 빌렛,340000000,120,원재료,
PO2024-00009,2024-01-19,외주가공 - 표면처리,539000000,615,외주가공비(제조),
PO2024-00010,2024-01-19,외주가공 - 열처리,566000000,615,외주가공비(제조),
PO2024-00005,2024-01-22,원재료 - 특수강 SCM440,729000000,120,원재료,
PO2024-00004,2024-01-23,부재료 - 절삭유,886000000,120,원재료,
PO2024-00007,2024-01-25,원재료 - 특수강 SCM440,275000000,120,원재료,
PO2024-00002,2024-01-26,외주가공 - 열처리,500000000,615,외주가공비(제조),
PO2024-00003,2024-01-26,원재료 - 베어링강 STB2,399000000,120,원재료,
PO2024-00011,2024-01-26,외주가공 - 표면처리,335000000,615,외주가공비(제조),
PO2024-00006,2024-01-29,원재료 - 특수강 SCM440,657000000,120,원재료,
PO2024-00016,2024-02-07,원재료 - 알루미늄 빌렛,443000000,120,원재료,
PO2024-00015,2024-02-08,원재료 - 알루미늄 빌렛,881000000,120,원재료,
PO2024-00022,2024-02-16,외주가공 - 표면처리,376000000,615,외주가공비(제조),
PO2024-00018,2024-02-20,소모품 - 절삭공구,493000000,616,소모품비(제조),
PO2024-00020,2024-02-20,소모품 - 절삭공구,308000000,616,소모품비(제조),
PO2024-00019,2024-02-21,외주가공 - 표면처리,595000000,615,외주가공비(제조),
PO2024-00021,2024-02-21,소모품 - 절삭공구,679000000,616,소모품비(제조),
PO2024-00017,2024-02-22,원재료 - 베어링강 STB2,964000000,120,원재료,
PO2024-00014,2024-02-26,외주가공 - 표면처리,767000000,615,외주가공비(제조),
PO2024-00013,2024-02-27,원재료 - 특수강 SCM440,763000000,120,원재료,
PO2024-00030,2024-03-04,소모품 - 절삭공구,198000000,616,소모품비(제조),
PO2024-00033,2024-03-04,소모품 - 절삭공구,782000000,616,소모품비(제조),
PO2024-00026,2024-03-06,원재료 - 특수강 SCM440,356000000,120,원재료,
PO2024-00028,2024-03-07,외주가공 - 열처리,531000000,615,외주가공비(제조),
PO2024-00025,2024-03-11,부재료 - 절삭유,581000000,120,원재료,
PO2024-00027,2024-03-11,원재료 - 특수강 SCM440,631000000,120,원재료,
PO2024-00029,2024-03-11,외주가공 - 표면처리,226000000,615,외주가공비(제조),
PO2024-00032,2024-03-11,원재료 - 베어링강 STB2,306000000,120,원재료,
PO2024-00023,2024-03-18,원재료 - 베어링강 STB2,124000000,120,원재료,
PO2024-00024,2024-03-18,외주가공 - 열처리,258000000,615,외주가공비(제조),
PO2024-00031,2024-03-18,원재료 - 알루미늄 빌렛,307000000,120,원재료,
PO2024-00034,2024-03-22,외주가공 - 표면처리,899000000,615,외주가공비(제조),
PO2024-00036,2024-04-08,외주가공 - 표면처리,356000000,615,외주가공비(제조),
PO2024-00039,2024-04-08,원재료 - 특수강 SCM440,793000000,120,원재료,
PO2024-00041,2024-04-08,부재료 - 절삭유,255000000,120,원재료,
PO2024-00045,2024-04-09,부재료 - 절삭유,205000000,120,원재료,
PO2024-00043,2024-04-12,원재료 - 특수강 SCM440,782000000,120,원재료,
PO2024-00042,2024-04-15,원재료 - 알루미늄 빌렛,931000000,120,원재료,
PO2024-00044,2024-04-15,원재료 - 알루미늄 빌렛,465000000,120,원재료,
PO2024-00046,2024-04-15,외주가공 - 열처리,868000000,615,외주가공비(제조),
PO2024-00047,2024-04-15,부재료 - 절삭유,823000000,120,원재료,
PO2024-00049,2024-04-15,외주가공 - 표면처리,609000000,615,외주가공비(제조),
PO2024-00035,2024-04-19,소모품 - 연마석,211000000,616,소모품비(제조),
PO2024-00038,2024-04-19,부재료 - 절삭유,794000000,120,원재료,
PO2024-00040,2024-04-22,원재료 - 베어링강 STB2,604000000,120,원재료,
PO2024-00037,2024-04-23,원재료 - 베어링강 STB2,470000000,120,원재료,
