invoice_no,revenue_date,customer_code,product_code,amount_krw,incoterms,order_no,order_date
SI2024-00002,2024-01-01,C007,P-A,163610439,FOB 도착지,SO2024-00002,2023-12-09
SI2024-00207,2024-01-01,C009,P-B,100859594,FOB 도착지,SO2024-00207,2023-12-16
SI2024-00406,2024-01-01,C005,P-C,40747270,FOB 도착지,SO2024-00406,2023-12-07
SI2024-00201,2024-01-02,C007,P-B,217715413,FOB 도착지,SO2024-00201,2023-12-18
SI2024-00206,2024-01-02,C006,P-B,83702699,FOB 도착지,SO2024-00206,2023-12-23
SI2024-00412,2024-01-02,C005,P-C,51584863,FOB 도착지,SO2024-00412,2023-12-10
SI2024-00009,2024-01-03,C007,P-A,221019938,FOB 도착지,SO2024-00009,2023-12-09
SI2024-00014,2024-01-04,C009,P-A,217327699,FOB 도착지,SO2024-00014,2023-12-22
SI2024-00212,2024-01-04,C006,P-B,62667134,FOB 도착지,SO2024-00212,2023-12-16
SI2024-00411,2024-01-04,C007,P-C,36552091,FOB 도착지,SO2024-00411,2023-12-15
SI2024-00004,2024-01-05,C004,P-A,110500658,FOB 도착지,SO2024-00004,2023-12-17
SI2024-00008,2024-01-05,C006,P-A,214186292,FOB 도착지,SO2024-00008,2023-12-18
SI2024-00205,2024-01-08,C003,P-B,210200785,FOB 도착지,SO2024-00205,2023-12-24
SI2024-00402,2024-01-08,C010,P-C,70284908,FOB 도착지,SO2024-00402,2023-12-28
SI2024-00408,2024-01-08,C003,P-C,33786861,FOB 도착지,SO2024-00408,2023-12-22
SI2024-00415,2024-01-08,C010,P-C,65863749,FOB 도착지,SO2024-00415,2023-12-26
SI2024-00420,2024-01-08,C006,P-C,78407405,FOB 도착지,SO2024-00420,2023-12-17
SI2024-00019,2024-01-09,C003,P-A,104237980,FOB 도착지,SO2024-00019,2023-12-15
SI2024-00405,2024-01-09,C006,P-C,78551577,FOB 도착지,SO2024-00405,2023-12-16
SI2024-00003,2024-01-10,C003,P-A,63777961,FOB 도착지,SO2024-00003,2023-12-27
SI2024-00018,2024-01-10,C008,P-A,164769502,FOB 도착지,SO2024-00018,2023-12-22
SI2024-00210,2024-01-10,C004,P-B,143700222,FOB 도착지,SO2024-00210,2023-12-25
SI2024-00001,2024-01-11,C001,P-A,189923739,FOB 도착지,SO2024-00001,2023-12-19
SI2024-00409,2024-01-11,C006,P-C,41632131,FOB 도착지,SO2024-00409,2023-12-27
SI2024-00418,2024-01-11,C002,P-C,63884344,FOB 도착지,SO2024-00418,2023-12-26
SI2024-00419,2024-01-11,C007,P-C,62459107,FOB 도착지,SO2024-00419,2023-12-24
SI2024-00013,2024-01-15,C007,P-A,124863391,FOB 도착지,SO2024-00013,2023-12-21
SI2024-00204,2024-01-15,C009,P-B,118446569,FOB 도착지,SO2024-00204,2024-01-04
SI2024-00209,2024-01-15,C010,P-B,150867141,FOB 도착지,SO2024-00209,2023-12-28
SI2024-00410,2024-01-15,C001,P-C,58047787,FOB 도착지,SO2024-00410,2024-01-04
SI2024-00417,2024-01-15,C004,P-C,61333377,FOB 도착지,SO2024-00417,2023-12-21
SI2024-00199,2024-01-16,C004,P-B,72781511,FOB 도착지,SO2024-00199,2024-01-01
SI2024-00203,2024-01-16,C005,P-B,196548036,FOB 도착지,SO2024-00203,2024-01-02
SI2024-00005,2024-01-17,C003,P-A,194677963,FOB 도착지,SO2024-00005,2023-12-25
SI2024-00413,2024-01-17,C006,P-C,39763297,FOB 도착지,SO2024-00413,2023-12-26
SI2024-00401,2024-01-18,C001,P-C,95666905,FOB 도착지,SO2024-00401,2023-12-30
SI2024-00011,2024-01-19,C007,P-A,93598183,FOB 도착지,SO2024-00011,2024-01-01
SI2024-00200,2024-01-19,C003,P-B,108539100,FOB 도착지,SO2024-00200,2024-01-01
SI2024-00202,2024-01-19,C003,P-B,183114876,FOB 도착지,SO2024-00202,2023-12-26
SI2024-00403,2024-01-19,C004,P-C,64445122,FOB 도착지,SO2024-00403,2024-01-07
SI2024-00416,2024-01-19,C007,P-C,91575670,FOB 도착지,SO2024-00416,2023-12-30
SI2024-00007,2024-01-22,C009,P-A,82911183,FOB 도착지,SO2024-00007,2023-12-29
SI2024-00010,2024-01-22,C006,P-A,173173453,FOB 도착지,SO2024-00010,2024-01-03
SI2024-00015,2024-01-22,C002,P-A,105724081,FOB 도착지,SO2024-00015,2024-01-07
SI2024-00016,2024-01-22,C008,P-A,201388555,FOB 도착지,SO2024-00016,2023-12-28
SI2024-00017,2024-01-22,C001,P-A,220258909,FOB 도착지,SO2024-00017,2024-01-05
SI2024-00208,2024-01-22,C006,P-B,117556811,FOB 도착지,SO2024-00208,2024-01-06
SI2024-00211,2024-01-22,C005,P-B,158300109,FOB 도착지,SO2024-00211,2024-01-03
SI2024-00414,2024-01-22,C009,P-C,88884066,FOB 도착지,SO2024-00414,2024-01-01
SI2024-00404,2024-01-23,C006,P-C,56301083,FOB 도착지,SO2024-00404,2024-01-12
SI2024-00006,2024-01-24,C008,P-A,103310252,FOB 도착지,SO2024-00006,2024-01-12
SI2024-00012,2024-01-25,C001,P-A,138739822,FOB 도착지,SO2024-00012,2024-01-12
SI2024-00407,2024-01-26,C003,P-C,58228387,FOB 도착지,SO2024-00407,2024-01-02
SI2024-00219,2024-02-01,C009,P-B,86676512,FOB 도착지,SO2024-00219,2024-01-09
SI2024-00432,2024-02-01,C003,P-C,67331486,FOB 도착지,SO2024-00432,2024-01-14
SI2024-00032,2024-02-02,C007,P-A,145889833,FOB 도착지,SO2024-00032,2024-01-23
SI2024-00031,2024-02-05,C006,P-A,248192708,FOB 도착지,SO2024-00031,2024-01-13
SI2024-00215,2024-02-05,C006,P-B,69688928,FOB 도착지,SO2024-00215,2024-01-15
SI2024-00217,2024-02-05,C003,P-B,117380130,FOB 도착지,SO2024-00217,2024-01-24
