shipment_no,invoice_no,actual_ship_date,arrival_date,warehouse
SH2024-00001,SI2024-00001,2024-01-10,2024-01-11,2공장창고
SH2024-00002,SI2024-00002,2024-01-01,2024-01-03,물류센터
SH2024-00003,SI2024-00003,2024-01-10,2024-01-11,1공장창고
SH2024-00004,SI2024-00004,2024-01-04,2024-01-05,물류센터
SH2024-00005,SI2024-00005,2024-01-17,2024-01-19,물류센터
SH2024-00006,SI2024-00006,2024-01-23,2024-01-24,1공장창고
SH2024-00007,SI2024-00007,2024-01-22,2024-01-23,1공장창고
SH2024-00008,SI2024-00008,2024-01-04,2024-01-05,2공장창고
SH2024-00009,SI2024-00009,2024-01-03,2024-01-04,1공장창고
SH2024-00010,SI2024-00010,2024-01-22,2024-01-23,물류센터
SH2024-00011,SI2024-00011,2024-01-18,2024-01-19,2공장창고
SH2024-00012,SI2024-00012,2024-01-25,2024-01-26,2공장창고
SH2024-00013,SI2024-00013,2024-01-15,2024-01-16,1공장창고
SH2024-00014,SI2024-00014,2024-01-04,2024-01-05,물류센터
SH2024-00015,SI2024-00015,2024-01-22,2024-01-23,물류센터
SH2024-00016,SI2024-00016,2024-01-22,2024-01-23,물류센터
SH2024-00017,SI2024-00017,2024-01-22,2024-01-23,2공장창고
SH2024-00018,SI2024-00018,2024-01-09,2024-01-11,2공장창고
SH2024-00019,SI2024-00019,2024-01-09,2024-01-10,2공장창고
SH2024-00020,SI2024-00020,2024-02-19,2024-02-21,물류센터
SH2024-00021,SI2024-00021,2024-02-26,2024-02-28,1공장창고
SH2024-00022,SI2024-00022,2024-02-27,2024-02-28,2공장창고
SH2024-00023,SI2024-00023,2024-02-19,2024-02-20,물류센터
SH2024-00024,SI2024-00024,2024-02-26,2024-02-27,1공장창고
SH2024-00025,SI2024-00025,2024-02-14,2024-02-15,2공장창고
SH2024-00026,SI2024-00026,2024-02-26,2024-02-27,물류센터
SH2024-00027,SI2024-00027,2024-02-12,2024-02-13,1공장창고
SH2024-00028,SI2024-00028,2024-02-12,2024-02-14,물류센터
SH2024-00029,SI2024-00029,2024-02-27,2024-02-28,물류센터
SH2024-00030,SI2024-00030,2024-02-19,2024-02-21,물류센터
SH2024-00031,SI2024-00031,2024-02-05,2024-02-06,물류센터
SH2024-00032,SI2024-00032,2024-02-02,2024-02-05,물류센터
SH2024-00033,SI2024-00033,2024-02-12,2024-02-13,2공장창고
SH2024-00034,SI2024-00034,2024-03-22,2024-03-25,2공장창고
SH2024-00035,SI2024-00035,2024-03-11,2024-03-12,2공장창고
SH2024-00036,SI2024-00036,2024-03-20,2024-03-22,물류센터
SH2024-00037,SI2024-00037,2024-02-29,2024-03-01,물류센터
SH2024-00038,SI2024-00038,2024-03-25,2024-03-27,1공장창고
SH2024-00039,SI2024-00039,2024-03-08,2024-03-11,물류센터
SH2024-00040,SI2024-00040,2024-03-18,2024-03-19,물류센터
SH2024-00041,SI2024-00041,2024-03-18,2024-03-19,물류센터
SH2024-00042,SI2024-00042,2024-03-15,2024-03-18,2공장창고
SH2024-00043,SI2024-00043,2024-03-11,2024-03-12,1공장창고
SH2024-00044,SI2024-00044,2024-03-21,2024-03-22,1공장창고
SH2024-00045,SI2024-00045,2024-03-01,2024-03-04,물류센터
SH2024-00046,SI2024-00046,2024-03-11,2024-03-13,2공장창고
SH2024-00047,SI2024-00047,2024-03-06,2024-03-07,2공장창고
SH2024-00048,SI2024-00048,2024-03-19,2024-03-20,1공장창고
SH2024-00049,SI2024-00049,2024-03-11,2024-03-12,물류센터
SH2024-00050,SI2024-00050,2024-03-06,2024-03-08,2공장창고
SH2024-00051,SI2024-00051,2024-03-21,2024-03-25,2공장창고
SH2024-00052,SI2024-00052,2024-03-18,2024-03-20,2공장창고
SH2024-00053,SI2024-00053,2024-04-02,2024-04-03,물류센터
SH2024-00054,SI2024-00054,2024-04-17,2024-04-18,물류센터
SH2024-00055,SI2024-00055,2024-04-11,2024-04-12,1공장창고
SH2024-00056,SI2024-00056,2024-04-09,2024-04-11,물류센터
SH2024-00057,SI2024-00057,2024-04-17,2024-04-19,2공장창고
SH2024-00058,SI2024-00058,2024-04-22,2024-04-24,1공장창고
SH2024-00059,SI2024-00059,2024-04-08,2024-04-10,2공장창고
SH2024-00060,SI2024-00060,2024-04-08,2024-04-10,물류센터
SH2024-00061,SI2024-00061,2024-04-24,2024-04-26,1공장창고
SH2024-00062,SI2024-00062,2024-04-08,2024-04-10,물류센터
SH2024-00063,SI2024-00063,2024-04-04,2024-04-08,2공장창고
SH2024-00064,SI2024-00064,2024-04-22,2024-04-23,물류센터
SH2024-00065,SI2024-00065,2024-04-15,2024-04-16,1공장창고
SH2024-00066,SI2024-00066,2024-04-18,2024-04-22,물류센터
SH2024-00067,SI2024-00067,2024-04-23,2024-04-24,2공장창고
SH2024-00068,SI2024-00068,2024-04-29,2024-04-30,1공장창고
