account_code,account_name,fy2023_ending_krw,fy2024_ending_krw
101,현금및현금성자산,4500000000,6800000000
108,매출채권,9400000000,18800000000
115,미수금,310000000,2710000000
120,원재료,3200000000,4100000000
121,재공품,2400000000,3600000000
122,제품,5100000000,7900000000
201,기계장치,41000000000,52400000000
202,금형,8600000000,9100000000
209,감가상각누계액,-19800000000,-25100000000
301,매입채무,8900000000,10200000000
305,미지급금,3100000000,3800000000
310,단기차입금,12000000000,21000000000
401,자본금,5000000000,5000000000
402,이익잉여금,25610000000,31310000000
